"Precinct","rank1","rank2","rank3"
"MINNEAPOLIS W-12 P-13","Mark Globus","Mike Winter","Jacob Frey"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kevin ""No Body"" Ward","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Bob ""Again"" Carney Jr","Laverne Turner","Kate Knuth"
"MINNEAPOLIS W-12 P-13","Bob ""Again"" Carney Jr","Laverne Turner","Kate Knuth"
